airframe,alt_m,Vs,Vmax,V_term,RoC,RoC_at,corner_lo,corner_hi,omega_inst_max,omega_sus_max,zoom_climb_m,glide_LD,ceiling_m
kite_b1,0,16.08,61.52,95.79,14.46,34,36.908753053925096,41.487513922008134,93.5,62.6,435,7.89,5673
kite_b1,500,17.77,62.97,,12.95,34,,,93.2,62.6,,,
kite_b1,1350,21.06,65.95,,10.60,38,,,88.4,46.9,,,
kite_b2,0,15.85,64.12,96.82,15.52,35,36.96481939910879,41.224550499009794,97.8,66.0,461,8.37,5892
kite_b2,500,17.51,66.00,,13.90,37,,,97.5,66.0,,,
kite_b2,1350,20.76,69.21,,11.44,39,,,92.2,50.0,,,
harrier_tri,0,15.45,59.83,88.57,16.27,32,36.637465188362896,40.97647298346925,109.8,75.8,406,8.11,5999
harrier_tri,500,17.08,61.64,,14.61,35,,,109.5,75.8,,,
harrier_tri,1350,20.24,64.95,,12.10,35,,,101.1,59.0,,,
lance_mk1,0,16.69,69.56,101.97,14.79,38,37.233667433989744,41.83492542197912,84.7,54.8,506,8.25,5474
lance_mk1,500,18.44,71.53,,13.26,39,,,84.4,54.8,,,
lance_mk1,1350,21.86,74.71,,10.78,43,,,81.9,41.4,,,
kitehawk,0,16.18,74.18,103.00,19.96,40,36.830394981035454,41.323815950320935,104.7,73.8,575,9.31,5999
kitehawk,500,17.88,76.19,,18.01,41,,,104.4,73.8,,,
kitehawk,1350,21.20,79.67,,14.91,45,,,98.9,56.2,,,
